parliament_year,chair_id,start,end,person_id
,b00577f775124427b821d107e3ed34a6,1948-07-27,1948-10-18,i-7yzcmgHgwvdw4zkJiWVkhj
,3bd7683369c6480799b85d24976a2e05,1946-07-07,1946-10-10,i-8H3MuQVwfmeFWhiNZz11g8
,9ab11ba1830a4d8e9d4b51ebfcd7b41f,1948-07-27,1948-10-18,i-ErxxwnY3HXvQGbZj6oQ6ho
,ee1f47cbe0da4522983f30f18f36edab,1942-07-17,1942-11-02,i-KU2tjG7is6kcqSpdpQUCYA
,688d24f8d3a548f3876e61aec8201174,1962-05-30,1962-10-16,i-SPyNESitsDpSs9w2dSgcfh
,649dd2e2baf04f5694cc6d39711a7a9c,1941-07-02,1941-10-20,i-UbnnZ7kVjVhJrHrUCyEV9K
1905,99638dbf44cc4838bc2c5ddeca2b91e2,1905-10-02,1905-10-18,i-MXmaSj4jbRgkRhwVRbwucF
1906,99638dbf44cc4838bc2c5ddeca2b91e2,1906-01-15,1906-05-28,i-MXmaSj4jbRgkRhwVRbwucF
1907,99638dbf44cc4838bc2c5ddeca2b91e2,1907-01-15,1907-06-03,i-MXmaSj4jbRgkRhwVRbwucF
1908,99638dbf44cc4838bc2c5ddeca2b91e2,1908-01-15,1908-06-04,i-MXmaSj4jbRgkRhwVRbwucF
1909,99638dbf44cc4838bc2c5ddeca2b91e2,1909-01-15,1909-05-26,i-MXmaSj4jbRgkRhwVRbwucF
1910,d3978b95f2a64599b6046935a2eaa83c,1910-03-04,1910-06-11,i-BedoVVUtGhYy2ZeyUHdGDk
1910,99638dbf44cc4838bc2c5ddeca2b91e2,1910-01-15,1910-06-11,i-MXmaSj4jbRgkRhwVRbwucF
1911,331f88d74fff4d7eaedfd2b575651c82,1911-04-19,1911-06-01,i-BZbnrNjY9pcUokRtrW7hbm
1911,d3978b95f2a64599b6046935a2eaa83c,1911-01-16,1911-06-01,i-BedoVVUtGhYy2ZeyUHdGDk
1911,99638dbf44cc4838bc2c5ddeca2b91e2,1911-01-16,1911-06-01,i-MXmaSj4jbRgkRhwVRbwucF
1912,331f88d74fff4d7eaedfd2b575651c82,1912-01-15,1912-05-31,i-BZbnrNjY9pcUokRtrW7hbm
1912,d3978b95f2a64599b6046935a2eaa83c,1912-01-15,1912-05-31,i-BedoVVUtGhYy2ZeyUHdGDk
1912,99638dbf44cc4838bc2c5ddeca2b91e2,1912-01-15,1912-05-31,i-MXmaSj4jbRgkRhwVRbwucF
1913,19dd2a2232dc41db8fec5e7589c91fd0,1913-03-28,1913-06-02,i-7MgmRH4uGvkrwTFxWPDkFd
1913,331f88d74fff4d7eaedfd2b575651c82,1913-01-15,1913-06-02,i-BZbnrNjY9pcUokRtrW7hbm
1913,d3978b95f2a64599b6046935a2eaa83c,1913-01-15,1913-06-02,i-BedoVVUtGhYy2ZeyUHdGDk
1913,99638dbf44cc4838bc2c5ddeca2b91e2,1913-01-15,1913-06-02,i-MXmaSj4jbRgkRhwVRbwucF
1914,19dd2a2232dc41db8fec5e7589c91fd0,1914-01-15,1914-03-05,i-7MgmRH4uGvkrwTFxWPDkFd
1914,19dd2a2232dc41db8fec5e7589c91fd0,1914-05-18,1914-12-17,i-7MgmRH4uGvkrwTFxWPDkFd
1914,331f88d74fff4d7eaedfd2b575651c82,1914-01-15,1914-03-05,i-BZbnrNjY9pcUokRtrW7hbm
1914,331f88d74fff4d7eaedfd2b575651c82,1914-05-18,1914-12-17,i-BZbnrNjY9pcUokRtrW7hbm
1914,d3978b95f2a64599b6046935a2eaa83c,1914-01-15,1914-03-05,i-BedoVVUtGhYy2ZeyUHdGDk
1914,d3978b95f2a64599b6046935a2eaa83c,1914-05-18,1914-12-17,i-BedoVVUtGhYy2ZeyUHdGDk
1914,99638dbf44cc4838bc2c5ddeca2b91e2,1914-01-15,1914-03-05,i-MXmaSj4jbRgkRhwVRbwucF
1914,99638dbf44cc4838bc2c5ddeca2b91e2,1914-05-18,1914-12-17,i-MXmaSj4jbRgkRhwVRbwucF
1915,19dd2a2232dc41db8fec5e7589c91fd0,1915-01-15,1915-05-29,i-7MgmRH4uGvkrwTFxWPDkFd
1915,331f88d74fff4d7eaedfd2b575651c82,1915-01-15,1915-05-29,i-BZbnrNjY9pcUokRtrW7hbm
1915,d3978b95f2a64599b6046935a2eaa83c,1915-01-15,1915-05-29,i-BedoVVUtGhYy2ZeyUHdGDk
1915,43ebad8be08a46f697e4fbbf39cb8a3a,1915-04-28,1915-05-29,i-HcoqR7YhxPAoWtRPS3Lzmn
1915,99638dbf44cc4838bc2c5ddeca2b91e2,1915-01-15,1915-05-29,i-MXmaSj4jbRgkRhwVRbwucF
1916,19dd2a2232dc41db8fec5e7589c91fd0,1916-01-15,1916-12-16,i-7MgmRH4uGvkrwTFxWPDkFd
1916,d619319c79384277b57de782857ce378,1916-10-04,1916-12-16,i-7uaSUUd8dzPEY4mf8vDhcJ
1916,331f88d74fff4d7eaedfd2b575651c82,1916-01-15,1916-12-16,i-BZbnrNjY9pcUokRtrW7hbm
1916,d3978b95f2a64599b6046935a2eaa83c,1916-01-15,1916-12-16,i-BedoVVUtGhYy2ZeyUHdGDk
1916,43ebad8be08a46f697e4fbbf39cb8a3a,1916-01-15,1916-12-16,i-HcoqR7YhxPAoWtRPS3Lzmn
1916,4c26737ff6ed46d6bd3f90e2b631a44d,1916-01-24,1916-12-16,i-KWrhxZryozrMbUBwynBzA4
1916,99638dbf44cc4838bc2c5ddeca2b91e2,1916-01-15,1916-12-16,i-MXmaSj4jbRgkRhwVRbwucF
1917,19dd2a2232dc41db8fec5e7589c91fd0,1917-01-15,1917-12-18,i-7MgmRH4uGvkrwTFxWPDkFd
1917,d619319c79384277b57de782857ce378,1917-01-15,1917-12-18,i-7uaSUUd8dzPEY4mf8vDhcJ
1917,331f88d74fff4d7eaedfd2b575651c82,1917-01-15,1917-12-18,i-BZbnrNjY9pcUokRtrW7hbm
1917,d3978b95f2a64599b6046935a2eaa83c,1917-01-15,1917-12-18,i-BedoVVUtGhYy2ZeyUHdGDk
1917,2c06d33599984f988ce4083a4b8a447a,1917-01-22,1917-12-18,i-CfaW8X7Nnsttq21KhW52MH
1917,43ebad8be08a46f697e4fbbf39cb8a3a,1917-01-15,1917-12-18,i-HcoqR7YhxPAoWtRPS3Lzmn
1917,4c26737ff6ed46d6bd3f90e2b631a44d,1917-01-15,1917-12-18,i-KWrhxZryozrMbUBwynBzA4
